#
# $Id$
#
# -----------------------------------------------------------------------------------------------------							
#							
# This first section includes a set of "custom" QTs							
# which are commonly used but not defined elsewhere.							
#							
# Name	DataType	Scale	MAGE Subclass	isBackground	ConfidenceIndicator target QT	Channel	Description
>>>Tab2MAGE_FGEM[ebi.ac.uk]							
RMA	float	linear_scale	DerivedSignal				
Normalized	float	linear_scale	DerivedSignal				
Ratio	float	linear_scale	Ratio				
# -----------------------------------------------------------------------------------------------------							
#							
# Below is the curated list of QTs as prepared and maintained by the ArrayExpress curators.							
# This will be updated periodically with new releases of this package.							
#							
# NOTE TO SELF - this part of the file will be automatically generated by Datafiles::write_QTs.							
# Attempt no changes here unless you are sure they won't be overwritten.							
#							
# Name	DataType	Scale	MAGE Subclass	isBackground	ConfidenceIndicator target QT	Channel	Description
>>>AIDA[Raytest]							
Area [pixel]	float	linear_scale	SpecializedQuantitationType				Spot area in pixels.
Bkg SD Cy3	float	linear_scale	Error	1	Bkg [QL] Cy3	Cy3	Standard deviation of background channel Cy3.
Bkg SD Cy5	float	linear_scale	Error	1	Bkg [QL] Cy5	Cy5	Standard deviation of background channel Cy5.
Bkg [QL] Cy3	float	linear_scale	SpecializedQuantitationType	1		Cy3	Standard deviation of background channel Cy3.
Bkg [QL] Cy5	float	linear_scale	SpecializedQuantitationType	1		Cy5	Standard deviation of background channel Cy5.
Homogeneity [%] Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Percentage of dot deviation from homogenous intensity distribution channel Cy3.
Homogeneity [%] Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Percentage of dot deviation from homogenous intensity distribution channel Cy5.
Integral SD Cy3	float	linear_scale	Error		Integral [QL] Cy3	Cy3	Standard deviation of integrated raw intensity channel Cy3.
Integral SD Cy5	float	linear_scale	Error		Integral [QL] Cy5	Cy5	Standard deviation of integrated raw intensity channel Cy5.
Integral [QL] Cy3	float	linear_scale	MeasuredSignal			Cy3	Integrated raw intensity of spot Channel Cy3.
Integral [QL] Cy5	float	linear_scale	MeasuredSignal			Cy5	Integrated raw intensity of spot Channel Cy5.
Mean [QL] Cy3	float	linear_scale	MeasuredSignal			Cy3	Mean (Integral/Area) Channel Cy3.
Mean [QL] Cy5	float	linear_scale	MeasuredSignal			Cy5	Mean (Integral/Area) Channel Cy5.
Median [QL] Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Median of the raw pixel intensity of spot Channel Cy3.
Median [QL] Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Median of the raw pixel intensity of spot Channel Cy5.
Quality Cy3	boolean	unscaled	SpecializedQuantitationType			Cy3	Quality flag Channel Cy3.
Quality Cy5	boolean	unscaled	SpecializedQuantitationType			Cy5	Quality flag Channel Cy5.
Saturated [pixel] Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Measure of saturation pixels channel Cy3.
Saturated [pixel] Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Measure of saturation pixels channel Cy5.
>>>Affymetrix[Affymetrix]							
Probe Set Name	string_datatype	unscaled	SpecializedQuantitationType				The name of the probe set.
Detection	string_datatype	unscaled	PresentAbsent				A measurement indicating if the transcript was detected (Present), not detected (Absent) or marginally detected (Marginal). Can be one of "Absent", "Marginal", "Present" or "No Call".
Detection p-value	float	linear_scale	PValue		Detection		The p-value calculated for a given detection call.
Signal	float	linear_scale	DerivedSignal				A measure of the relative abundance of a transcript.
Number of Pairs	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set.
Number of Pairs Used	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set used in the Detection call.
CELIntensity	float	linear_scale	MeasuredSignal				The intensity value of the probe. Represents the 75th percentile among the DAT file intensity values of the pixels in the feature.
CELIntensityStdev	float	linear_scale	SpecializedQuantitationType				The standard deviation of the intensity of the probe.
CELMask	boolean	linear_scale	SpecializedQuantitationType				A flag indicating that the probe was masked by the user.
CELOutlier	boolean	linear_scale	SpecializedQuantitationType				A flag indicating that the software called this probe an outlier.
CELPixels	integer	linear_scale	SpecializedQuantitationType				The number of pixels used to calculate the intensity.
CELX	integer	linear_scale	SpecializedQuantitationType				The x coordinate of the probe.
CELY	integer	linear_scale	SpecializedQuantitationType				The y coordinate of the probe.
CHPAbsCall	string_datatype	unscaled	PresentAbsent				The call in an absolute analysis that indicates if the transcript was present (P), absent (A), or marginal (M).
CHPAllele	string_datatype	unscaled	SpecializedQuantitationType				The allele call in a SNP analysis: AA, BB, AB, AB_A, AB_B, or "No call".
CHPAllelePvalue	float	linear_scale	PValue		CHPAllele		The p-value calculated for a given allele call.
CHPAllelePvalueAA	float	linear_scale	PValue		CHPAllele		The p-value calculated for a given AA allele call.
CHPAllelePvalueAB	float	linear_scale	PValue		CHPAllele		The p-value calculated for a given AB allele call.
CHPAllelePvalueBB	float	linear_scale	PValue		CHPAllele		The p-value calculated for a given BB allele call.
CHPAllelePvalueNoCall	float	linear_scale	PValue		CHPAllele		The p-value calculated for a given NoCall allele call.
CHPAlleleRAS1	float	linear_scale	SpecializedQuantitationType				
CHPAlleleRAS2	float	linear_scale	SpecializedQuantitationType				
CHPAvgDiff	float	linear_scale	DerivedSignal				Average intensity difference
CHPAvgDiffChange	float	linear_scale	SpecializedQuantitationType				The change in average difference
CHPBaselineAbsent	float	linear_scale	SpecializedQuantitationType				Flag indicating if the baseline call was absent.
CHPChange	string_datatype	unscaled	PresentAbsent				A call indicating an Increase (I), Marginal Increase (MI), No Change (NC), Decrease (D), or Marginal Decrease (MD) in transcript level between a baseline array and an experiment array. May also have the value "No Call".
CHPChangePvalue	float	linear_scale	PValue		CHPChange		Measures the probability that the expression levels of a probe set in two different arrays are the same or not. When the p-value is close to 0.5 they are likely to be the same. When the p-value is close to 0 the expression level in the experiment array is
